更新时间,#genre#
CCTV-14,http://116.135.5.103:8082/rtp/226.0.2.31:8160$1920x1080
CCTV-14,http://222.95.198.207:4022/rtp/239.49.8.136:6000$1920x1080
CCTV-14,http://49.83.250.201:10001/rtp/239.49.8.136:6000$1920x1080
CCTV-14,http://180.103.165.76:8888/rtp/239.49.8.136:6000$1920x1080
CCTV-14,http://222.95.92.12:4000/rtp/239.49.8.136:6000$1920x1080
CCTV-14,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3
CCTV-14,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226591/index.m3u8
CCTV-14,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010207/index.m3u8
CCTV-14,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-14,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000021349/1.m3u8
CCTV-14,http://39.98.201.151:9090/udp/225.1.8.114:8236
CCTV-14,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226166/index.m3u8
CCTV-14,http://123.113.237.160:8888/rtp/239.3.1.65:8132$1920x1080
